GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ISO2-Testing-Proyecto,default,MetodoFechas,60,0,10,0,21,0,8,0,3,0
ISO2-Testing-Proyecto,com.grupoBC05.testing,MetodoFechas,3,57,0,10,1,20,1,7,1,2
